,stockCode,securityAbbr,opDate,RZRQYE,EM12,EM26,DIF,DEA,,macd,macdsignal,macdhist
0,1,平安银行,2018-09-12,4322182366,4345421234,4380512934,-35091700.71,-26590074.02,-17003253.38,,,
1,1,平安银行,2018-09-11,4288054664,4350837166,4384291124,-33453958.03,-25143047.87,-16621820.32,,,
2,1,平安银行,2018-09-10,4276033538,4381014513,4389689804,-8675290.897,-24273456.01,31196330.22,,,
3,1,平安银行,2018-09-07,4294336586,4379253179,4395858406,-16605226.45,-26656366.64,20102280.39,,,
4,1,平安银行,2018-09-06,4343997832,4378155395,4401424279,-23268883.25,-29080816.01,11623865.53,,,
5,1,平安银行,2018-09-05,4317539874,4375172432,4407810901,-32638469.33,-31654654.49,-1967629.694,,,
6,1,平安银行,2018-09-04,4297448633,4379437890,4413831040,-34393149.97,-35370433.61,1954567.264,,,
7,1,平安银行,2018-09-03,4310918091,4389947636,4419875402,-29927766.36,-39258221.16,18660909.6,,,
8,1,平安银行,2018-08-31,4318315281,4401367877,4426624098,-25256221.21,-44095936.35,37679430.28,,,
9,1,平安银行,2018-08-30,4450924066,4413311570,4435380035,-22068465.29,-50023592.13,55910253.67,,,
10,1,平安银行,2018-08-29,4494720353,4413495354,4439122986,-25627631.29,-57351773.48,63448284.39,,,
11,1,平安银行,2018-08-28,4430583521,4410899130,4441020617,-30121486.63,-64864592.14,69486211.01,,,
12,1,平安银行,2018-08-27,4387173555,4408900309,4447325580,-38425270.79,-73239225.33,69627909.08,,,
13,1,平安银行,2018-08-24,4650182830,4411263588,4457697017,-46433429.49,-82459036.55,72051214.1,,,
14,1,平安银行,2018-08-23,4254897528,4392577092,4458657574,-66080481.41,-92040011.36,51919059.9,,,
15,1,平安银行,2018-08-22,4281163179,4406370240,4475753478,-69383237.94,-100219835.1,61673194.39,,,
16,1,平安银行,2018-08-21,4308202269,4418641670,4492108873,-73467203.1,-108850637.1,70766867.94,,,
17,1,平安银行,2018-08-20,4368725372,4429326246,4507931369,-78605123.22,-117775308.3,78340370.12,,,
18,1,平安银行,2018-08-17,4423565585,4435186571,4523208669,-88022097.47,-126644426.6,77244658.28,,,
19,1,平安银行,2018-08-16,4447960982,4442393607,4535636607,-93242999.2,-134528109.1,82570219.81,,,
20,1,平安银行,2018-08-15,4461639602,4444568816,4550062001,-105493185.3,-142242417.3,73498464.04,,,
21,1,平安银行,2018-08-14,4453129475,4443982354,4565385925,-121403571.8,-149022760.2,55238376.96,,,
22,1,平安银行,2018-08-13,4463565665,4446753579,4579415782,-132662202.8,-154060917.9,42797430.18,,,
23,1,平安银行,2018-08-10,4406597663,4453620578,4593319474,-139698895.4,-158265079.1,37132367.45,,,
24,1,平安银行,2018-08-09,4415532901,4465424170,4612484626,-147060455.3,-161445120.8,28769331.01,,,
25,1,平安银行,2018-08-08,4425944885,4476134659,4629923903,-153789244,-163395720.7,19212953.48,,,
26,1,平安银行,2018-08-07,4420415299,4490181965,4648609153,-158427188.2,-163689512.2,10524648.06,,,
27,1,平安银行,2018-08-06,4428420345,4509883267,4668858507,-158975239.9,-162717128.9,7483777.862,,,
28,1,平安银行,2018-08-03,4436417174,4530444680,4693116454,-162671773.3,-161319199,-2705148.665,,,
29,1,平安银行,2018-08-02,4439049281,4552359169,4718875440,-166516271.4,-159269844.7,-14492853.54,,,
30,1,平安银行,2018-08-01,4510050017,4574638684,4741385675,-166746990.9,-156502352.8,-20489276.22,,,
31,1,平安银行,2018-07-31,4474063483,4592100112,4762599766,-170499653.6,-153868925.1,-33261456.97,,,
