date,open,high,low,close,volume,rzye,rqyl,rzrqye,ema,diff1,dea,macd
2017-01-03,27.34,27.6,27.32,27.58,24854.19,656444165,0,656444165.0,656444165.0,,,
2017-01-04,27.64,27.96,27.5,27.9,32311.09,643497150,0,643497150.0,655485126.8518518,,,
2017-01-05,27.95,28.38,27.69,28.22,37600.25,647230194,0,647230194.0,654873650.3443072,,,
2017-01-06,28.21,28.6,27.98,28.4,34812.66,633065097,0,633065097.0,653258201.9484327,,,
2017-01-09,28.35,28.35,28.0,28.2,26784.38,631083310,0,631083310.0,651615617.3596598,,,
2017-01-10,28.2,28.2,27.92,27.98,16259.75,627090566,17000,627566226.0,649834180.9626479,,,
2017-01-11,28.01,28.16,27.48,27.5,23259.14,631892429,11000,632194929.0,648527569.7061555,,,
2017-01-12,27.78,28.43,27.7,27.97,52810.46,638643405,10000,638923105.0,647816127.8760699,,,
2017-01-13,27.9,28.15,27.3,27.33,31029.31,635992835,17500,636471110.0,646975756.1815462,,,
2017-01-16,27.4,27.56,25.2,26.72,47991.61,604352816,10500,604633376.0,643839283.5755057,,,
2017-01-17,26.5,26.73,25.91,26.6,29602.79,603627886,6955,603812889.0,640874365.4588015,,,
2017-01-18,26.42,26.72,26.42,26.61,17588.64,615345696,6855,615528107.55,638996864.8729644,,,
2017-01-19,26.62,27.13,26.6,26.79,33333.58,595709335,10355,595986745.45,635810930.1008929,,,
2017-01-20,26.6,26.95,26.58,26.92,23425.27,600690822,55,600692302.6,633209550.2860119,,,
2017-01-23,26.75,27.27,26.75,27.14,17446.54,595510553,55,595512045.7,630417142.5388999,,,
2017-01-24,27.1,27.12,26.76,26.8,13037.73,594105563,55,594107037.0,627727505.091574,,,
2017-01-25,26.8,26.97,26.51,26.94,15282.87,595379174,55,595380655.7,625331442.1736796,,,
2017-01-26,26.92,27.15,26.92,27.09,12919.11,591965462,55,591966951.95,622859998.453407,,,
2017-02-03,26.96,27.17,26.73,26.83,9736.34,589413000,355,589422524.65,620383148.5420436,,,
2017-02-06,27.01,27.3,26.82,27.29,31463.83,589230530,55,589232030.95,618075658.3500403,,,
2017-02-07,27.16,27.39,27.05,27.3,21587.17,588378867,255,588385828.5,615876411.6944817,,,
2017-02-08,27.29,27.4,27.09,27.36,17351.39,589236835,1455,589276643.8,613906058.5171127,,,
2017-02-09,27.36,27.65,27.28,27.64,25760.14,585914054,555,585929394.2,611833713.0121413,,,
2017-02-10,27.48,27.65,27.41,27.51,15738.93,582745890,55,582747403.05,609679171.5334642,,,
2017-02-13,27.5,27.77,27.43,27.48,21264.1,582710817,55,582712328.4,607681627.597652,,,
2017-02-14,27.41,27.6,27.22,27.34,25925.18,587775431,0,587775431.0,606207094.5163444,,,
2017-02-15,27.55,28.45,27.43,28.28,100749.69,591820265,4500,591947525.0,605150830.1077263,,,
2017-02-16,28.38,28.75,27.99,28.16,71793.07,600202042,11800,600534330.0,604808867.1367837,,,
2017-02-17,28.15,28.2,27.7,27.85,43585.38,611746565,8100,611972150.0,605339480.6822072,,,
2017-02-20,27.68,28.11,27.67,28.07,39942.78,624272520,0,624272520.0,606741928.0390807,,,
2017-02-21,28.16,28.34,27.96,28.29,36776.33,625495405,0,625495405.0,608131074.4806303,,,
2017-02-22,28.27,28.27,28.03,28.13,22918.21,624907632,3900,625017339.0,609381908.8894725,,,
2017-02-23,28.11,28.16,27.75,27.91,24025.74,627155392,4800,627289360.0,610708386.7495116,,,
2017-02-24,27.9,28.07,27.81,28.06,19158.16,624619148,4800,624753836.0,611748790.3976959,,,
2017-02-27,28.08,28.17,27.79,27.8,17599.43,615506505,4800,615639945.0,612037024.0719407,,,
2017-02-28,27.8,27.98,27.75,27.97,14699.34,618576716,100,618579513.0,612521652.8814266,,,
2017-03-01,27.97,28.13,27.83,28.11,23765.48,616789117,0,616789117.0,612837761.3346542,,,
2017-03-02,28.19,28.56,28.1,28.15,66040.21,612990459,0,612990459.0,612849072.272828,,,
2017-03-03,28.0,28.09,27.65,28.04,23982.4,617434664,200,617440272.0,613189161.1415074,,,
2017-03-06,28.05,28.08,27.86,28.06,31239.33,626718016,200,626723628.0,614191714.2421365,,,
2017-03-07,28.03,28.09,27.6,27.75,46003.13,614753585,200,614759135.0,614233745.4093856,,,
2017-03-08,27.75,27.85,27.49,27.59,27614.08,621867526,17300,622344833.0,614834566.712394,,,
2017-03-09,27.59,27.6,27.08,27.13,28155.43,612146990,17300,612616339.0,614670253.5485129,,,
2017-03-10,27.33,27.33,26.8,26.98,35537.71,617434181,6800,617617645.0,614888578.8412157,,,
2017-03-13,27.1,27.16,26.73,27.08,29620.34,619741072,1400,619778984.0,615250831.0751997,,,
2017-03-14,27.11,27.12,26.9,27.03,22883.1,625472437,1400,625510279.0,616010790.1807405,,,
2017-03-15,27.03,27.44,26.94,27.38,31885.57,628110262,0,628110262.0,616907047.3525375,,,
2017-03-16,27.33,27.5,27.28,27.37,27731.03,631924383,0,631924383.0,618019442.5856829,,,
2017-03-17,27.39,27.44,26.78,26.84,45309.5,613640051,0,613640051.0,617695043.2089655,,,
2017-03-20,26.9,26.98,26.59,26.79,25375.16,617198255,0,617198255.0,617658244.0823755,,,
2017-03-21,26.7,27.14,26.68,27.01,25785.33,622845434,0,622845434.0,618042480.3725699,,,
2017-03-22,26.8,26.95,26.35,26.46,45209.69,623730322,11000,624021382.0,618485361.9746017,,,
2017-03-23,26.52,26.55,25.99,26.29,37803.78,626313908,12400,626639904.0,619089402.1246313,,,
2017-03-24,26.29,26.39,26.04,26.36,26523.1,621167539,12400,621494403.0,619267550.3376216,,,
2017-03-27,26.45,26.48,26.28,26.31,29337.63,616560204,14100,616931175.0,619094485.4977977,,,
2017-03-28,26.29,26.42,26.22,26.31,14279.36,607723332,14100,608094303.0,618279657.1646276,,,
2017-03-29,26.3,26.35,25.96,25.99,24694.06,599778830,1300,599812617.0,616911728.263544,,,
2017-03-30,26.01,26.06,25.42,25.48,32754.28,594563871,17500,595009771.0,615289361.0588369,,,
2017-03-31,25.52,25.86,25.52,25.76,22658.3,591892825,11667,592193366.92,613578546.6781824,,,
2017-04-05,25.78,26.3,25.7,26.21,23238.29,593815319,167,593819696.07,612114928.1146133,,,
2017-04-06,26.22,26.28,25.98,26.04,22685.9,600337196,167,600341544.68,611242825.6379752,,,
2017-04-07,26.05,26.36,26.01,26.25,28688.66,590597902,167,590602285.75,609713896.7573844,,,
2017-04-10,26.29,26.43,26.1,26.34,30129.59,586598713,16767,587040355.78,608034375.2035041,,,
2017-04-11,26.28,26.33,25.96,26.2,28302.15,589745531,167,589749906.4,606679970.1069483,,,
2017-04-12,26.12,26.39,25.93,26.22,31400.12,578401521,167,578405899.74,604585594.5242113,,,
2017-04-13,26.22,26.36,26.12,26.25,18889.24,564210119,167,564214502.75,601595143.2816771,,,
2017-04-14,26.15,26.25,25.91,26.02,23585.62,550109847,2207,550167273.14,597785671.4193307,,,
2017-04-17,25.98,25.98,25.51,25.65,18065.31,555573820,15307,555966444.55,594687950.9104915,,,
2017-04-18,25.65,25.85,25.23,25.35,22721.12,547093316,11807,547392623.45,591184593.3208255,,,
2017-04-19,25.12,25.36,25.0,25.35,21795.46,547297827,5699,547442296.65,587944423.1970606,,,
2017-04-20,25.26,25.54,25.13,25.28,15033.26,544263031,11799,544561309.72,584730859.2357968,,,
2017-04-21,25.18,25.34,24.97,25.09,15371.87,538127240,499,538139759.91,581279666.6931452,,,
2017-04-24,25.09,25.14,24.0,24.28,24481.27,540057792,17399,540480239.72,578257486.9173566,,,
2017-04-25,24.48,24.48,24.11,24.25,13930.28,536874141,2499,536934741.75,575196542.8308858,,,
2017-04-26,24.09,24.26,23.9,24.02,18792.12,540203775,2499,540263800.98,572608932.3234128,,,
2017-04-27,23.97,24.05,23.25,23.58,25791.23,537446847,14999,537800523.42,570030531.6639007,,,
2017-04-28,23.57,23.82,23.32,23.79,13180.4,531796077,699,531812706.21,567199581.6302785,,,
2017-05-02,22.8,22.8,21.41,21.41,84496.04,498227238,699,498242203.59,562091627.7013689,,,
2017-05-03,20.5,20.87,19.87,20.42,99308.9,508587045,699,508601318.58,558129382.5812675,,,
2017-05-04,20.01,20.25,19.94,20.0,43393.18,508033010,699,508046990.0,554419575.7233958,,,
2017-05-05,20.0,20.29,19.81,19.89,36843.67,513506859,699,513520762.11,551390033.9742554,,,
2017-05-08,19.8,20.07,19.79,19.98,31028.82,510686084,699,510700050.02,548375961.088755,,,
2017-05-09,20.02,20.05,19.14,19.42,43877.02,511019322,10645,511226047.9,545624115.6673658,,,
2017-05-10,19.39,19.5,18.86,18.89,37085.48,498441078,10645,498642162.05,542143970.9549683,,,
2017-05-11,18.75,18.75,17.91,18.51,48755.95,489752645,26745,490247694.95,538299802.3620077,,,
2017-05-12,18.48,18.56,18.27,18.38,34378.91,469207364,10645,469403019.1,533196336.9351924,,,
2017-05-15,18.49,18.55,18.31,18.35,15001.02,466562704,10045,466747029.75,528274166.03258556,,,
2017-05-16,18.39,19.07,18.22,19.0,38301.59,464021025,24445,464485480.0,523549078.17831993,,,
2017-05-17,18.96,19.29,18.82,19.01,22966.6,466821692,14845,467103895.45,519367953.5317777,,,
2017-05-18,18.5,18.96,18.5,18.87,17390.78,468869720,2799,468922537.13,515631256.0205349,,,
2017-05-19,18.83,19.21,18.73,18.94,23675.19,477895982,199,477899751.06,512836329.72716194,,,
2017-05-22,18.83,18.93,18.08,18.17,17191.0,477444900,17400,477761058.0,510238161.45107585,,,
2017-05-23,17.98,18.35,17.2,17.3,43401.77,477533793,100,477535523.0,507815743.7880332,,,
2017-05-24,17.19,17.55,16.89,17.49,26167.01,481035970,13700,481275583.0,505849805.9518826,,,
